Id,K,D,K/D,FK,FD,FK/D,W,L,W/L,Beds Broken
57,15404,18621,0.83,24880,903,27.55,8674,772,11.24,8866
58,15484,22872,0.68,17758,1425,12.46,6572,1302,5.05,6792
59,5149,7027,0.73,9786,388,25.22,2863,326,8.78,3057
60,13747,23780,0.58,25755,875,29.43,8814,715,12.33,8184
61,8593,28670,0.30,12456,550,22.65,8075,460,17.55,4898
62,7702,14708,0.52,12742,518,24.60,5287,465,11.37,4565
63,16299,25806,0.63,27869,955,29.18,8899,868,10.25,7145
64,5364,5643,0.95,6836,311,21.98,2095,240,8.73,1742
65,15266,19500,0.78,23072,814,28.34,7970,661,12.06,7034
66,5972,12688,0.47,20564,454,45.30,6522,502,12.99,6554
67,13679,21956,0.62,14221,848,16.77,6492,738,8.80,4517
68,10579,14583,0.73,19068,756,25.22,6933,603,11.50,5750
69,14384,30277,0.48,19052,1436,13.27,8664,1192,7.27,6590
70,17010,18309,0.93,10733,1853,5.79,3355,1854,1.81,3952
71,18701,29275,0.64,11419,1723,6.63,5588,1563,3.58,3459
72,9061,17188,0.53,18451,380,48.56,6836,285,23.99,5636
73,9917,13453,0.74,12981,839,15.47,4432,859,5.16,4078
74,16541,16929,0.98,10724,1909,5.62,3314,1941,1.71,3557
75,7816,26207,0.30,12343,1146,10.77,9250,837,11.05,4015
76,15354,20710,0.74,16304,1077,15.14,5889,851,6.92,5706
77,19431,28753,0.68,26899,508,52.95,8656,459,18.86,9494
78,12087,27880,0.43,17853,1798,9.93,9503,2046,4.64,5276
79,11670,26503,0.44,17978,1166,15.42,8565,1004,8.53,7335
80,8137,17979,0.45,20134,63,319.59,7237,39,185.56,6181
81,9766,20433,0.48,21879,530,41.28,8927,439,20.33,8857
82,8823,18565,0.48,17404,1166,14.93,7882,947,8.32,5642
83,7359,17055,0.43,16422,908,18.09,6701,816,8.21,6727
84,7039,10881,0.65,15395,379,40.62,5404,298,18.13,4059
85,3524,5623,0.63,4561,578,7.89,1651,609,2.71,1538
86,5087,9472,0.54,9841,614,16.03,4894,536,9.13,3169
87,26247,17661,1.49,21181,812,26.08,5590,717,7.80,6934
88,5549,10232,0.54,5764,867,6.65,3102,742,4.18,2663
89,3333,4228,0.79,4434,142,31.23,1611,121,13.31,1361
90,11037,20267,0.54,9750,1753,5.56,4133,1717,2.41,3899
91,5930,11057,0.54,9772,636,15.36,4071,540,7.54,4016
92,5558,21211,0.26,13540,1608,8.42,6809,1208,5.64,5274
93,23647,28402,0.83,23648,2053,11.52,6496,1885,3.45,8229
94,12776,25019,0.51,31508,1254,25.13,8876,1133,7.83,7567
95,5222,5203,1.00,4663,377,12.37,1493,378,3.95,1575
96,11121,17497,0.64,23944,902,26.55,7974,731,10.91,6902
97,7051,10650,0.66,8018,829,9.67,2867,763,3.76,2601
98,14502,25504,0.57,19815,1260,15.73,6515,1130,5.77,7955
99,22758,38185,0.60,18381,3989,4.61,6423,4378,1.47,6726
100,7110,13000,0.55,10221,622,16.43,3996,548,7.29,3379
101,8091,12697,0.64,7831,933,8.39,4076,890,4.58,2839
102,8604,17114,0.50,25709,598,42.99,8046,464,17.34,8119
103,6453,9994,0.65,9808,516,19.01,3490,459,7.60,3362
104,17536,23928,0.73,13045,1911,6.83,5190,1888,2.75,5025
105,8839,8862,1.00,12022,293,41.03,3873,308,12.57,3739
106,22056,31075,0.71,13264,4182,3.17,8701,3822,2.28,1810
107,5894,15942,0.37,13568,695,19.52,5657,664,8.52,3638
108,14066,19613,0.72,11447,1460,7.84,3503,1457,2.40,3871
109,10077,17016,0.59,10152,1399,7.26,4810,1271,3.78,4311
110,8242,9305,0.89,6421,1002,6.41,2051,1085,1.89,2774
111,7201,16215,0.44,22427,520,43.13,7513,433,17.35,6341
112,8987,17697,0.51,21830,974,22.41,5818,936,6.22,6752
113,5318,5510,0.97,6415,409,15.68,1973,349,5.65,2120
114,3273,7721,0.42,3501,568,6.16,1672,523,3.20,1165
115,2520,2173,1.16,3250,136,23.90,1053,119,8.85,812
116,7362,15873,0.46,18580,207,89.76,8139,161,50.55,5931
117,10064,16592,0.61,10010,622,16.09,4091,693,5.90,4060
118,12761,22821,0.56,19432,1362,14.27,8211,1129,7.27,7170
119,6214,6465,0.96,5379,388,13.86,1484,389,3.81,1569
120,19964,44360,0.45,12085,3473,3.48,7999,3221,2.48,3422
121,8300,13144,0.63,9427,650,14.50,3348,592,5.66,3552
122,5994,11258,0.53,7450,1192,6.25,3201,1391,2.30,2851
123,12123,19093,0.63,17245,1176,14.66,6209,1147,5.41,6816
124,5506,9134,0.60,6998,501,13.97,2734,446,6.13,2377
125,10956,20263,0.54,16211,880,18.42,6064,784,7.73,6074
126,8234,14652,0.56,14344,449,31.95,5712,423,13.50,4708
127,12262,20590,0.60,11335,592,19.15,5407,442,12.23,3884
128,4079,10019,0.41,12473,247,50.50,4251,198,21.47,3832
129,8924,14362,0.62,10730,773,13.88,4979,611,8.15,3652
130,21709,34073,0.64,24584,1756,14,7650,1560,4.90,6738
131,15432,14344,1.08,19945,1111,17.95,5999,1031,5.82,6086
132,6489,15262,0.43,11927,517,23.07,5634,559,10.08,4347
133,4070,6174,0.66,3700,441,8.39,1748,410,4.26,1105
134,11872,24510,0.48,14091,1514,9.31,6370,1203,5.30,5071
135,11706,23907,0.49,13693,1372,9.98,7016,1251,5.61,5416
136,5507,10131,0.54,11145,486,22.93,3966,426,9.31,3666
137,15018,22182,0.68,10920,1935,5.64,5180,1782,2.91,4294
138,6798,10951,0.62,16587,301,55.11,5798,241,24.06,4371
139,27874,43222,0.64,13316,4849,2.75,6610,5240,1.26,5985
140,4503,5943,0.76,3712,368,10.09,1493,351,4.25,1404
141,15821,27843,0.57,17911,821,21.82,7394,771,9.59,7178
142,20287,23522,0.86,11673,1454,8.03,4939,1323,3.73,3947
143,12572,17609,0.71,9241,818,11.30,4474,741,6.04,4019
144,7800,14813,0.53,15369,559,27.49,6537,447,14.62,5412
145,3913,4685,0.84,3985,520,7.66,1537,433,3.55,1414
146,5091,12487,0.41,13457,466,28.88,4739,382,12.41,3928
147,13427,25856,0.52,12199,1519,8.03,5351,1355,3.95,5328
148,8003,9923,0.81,10462,331,31.61,3971,327,12.14,3344
149,7590,11305,0.67,9568,332,28.82,4070,266,15.30,3074
150,6571,7898,0.83,12288,425,28.91,3570,375,9.52,3637
151,8754,17174,0.51,12094,688,17.58,5176,672,7.70,4054
152,7423,17740,0.42,12765,887,14.39,6739,799,8.43,4074
153,42636,26150,1.63,25809,2328,11.09,8098,2860,2.83,7123
154,10546,15493,0.68,11307,1021,11.07,6244,877,7.12,4601
155,8751,14914,0.59,10357,769,13.47,6055,709,8.54,3959
156,11628,15117,0.77,12636,1025,12.33,4563,863,5.29,4255
157,2844,5185,0.55,6252,104,60.12,2214,75,29.52,2065
158,7033,18603,0.38,9912,930,10.66,4924,782,6.30,3593
