Id, Coins, Current Winstreak, Current Level, Diamonds Collected, Emeralds Collected, Gold Collected, Iron Collected
87,3180519,0,699,71762,18472,376899,2375363
88,4442738,2,1079,73275,59281,509903,2735593
89,2385365,1,797,85523,32139,371727,1777673
90,2132998,0,960,94991,29178,558782,3015467
91,3554810,11,733,46408,19217,368073,2073671
92,286298,0,581,5332,6404,274946,1763143
93,113485,2,736,26291,18142,348881,2362782
94,1425783,0,446,30080,15154,206357,1458432
95,2469382,0,953,105786,70731,572523,3027151
96,415948,2,389,12591,6761,227644,1667160
97,4084456,1,649,44363,19649,311154,1757743
98,2227889,59,773,39119,24317,341475,2170411
99,2393192,1,825,35894,31941,428208,2623117
100,761681,0,705,54876,20533,366121,2052340
101,1195412,1,911,117931,48710,453656,2534212
102,1148109,75,375,9490,8046,168938,1235692
103,736397,3,620,7305,8125,260253,1628590
104,2006927,2,688,17233,13005,353146,2274868
105,2460788,12,562,32349,11085,255264,1426491
106,3717165,0,855,57368,16227,418328,3048048
107,1376848,5,618,52145,24021,353782,2071347
108,735130,8,769,42564,19078,401449,2251321
109,287468,0,714,45547,17255,387647,2407036
110,330865,2,863,38841,37179,435761,2308272
111,1438244,4,435,21388,9728,177804,1107399
112,1231119,4,540,10249,12970,267574,1735394
113,4225474,4,776,45067,23719,439039,2361370
114,1699497,0,578,32881,20992,337883,1974877
115,5889248,0,766,89959,19751,421602,2068353
116,1399355,0,414,26116,10513,195455,1307553
117,1574580,8,977,62841,47227,453378,2576875
118,4946826,4,662,19708,12748,269608,1878694
119,2162013,0,713,68276,12014,398927,2234387
120,2809349,11,909,39505,14189,347068,2592069
121,301413,9,689,23200,12736,288017,1754610
122,12451,0,752,90135,44854,492380,2567577
123,1643930,8,605,29373,8565,270506,1782095
124,318762,4,749,103702,31826,463188,2639903
125,168491,0,520,11703,7380,231332,1507916
126,1441592,2,539,29478,8696,206546,1256084
127,317939,20,507,22200,7594,217728,1364866
128,2434394,0,539,25589,12065,219331,1278071
129,642681,5,558,37088,22669,285346,1849104
130,3054452,2,614,20950,16732,220720,1422677
131,2095730,2,625,40516,18822,307587,1976934
132,2330048,24,559,23416,8239,209034,1316357
133,518496,10,625,22396,12106,305206,1779675
134,2585330,5,727,31284,15361,307303,1951920
135,351647,2,588,26394,10409,234834,1533387
136,838731,0,634,40766,22230,277485,1670877
137,1274993,0,708,24650,11081,369713,2477882
138,1560392,226,483,32220,15122,232288,1420499
139,1115747,1,731,32502,18844,389191,2740275
140,1303519,0,913,88959,38336,469022,2526149
141,1379940,197,596,24698,11508,238284,1638592
142,2017745,0,891,75293,46335,422499,2602029
143,1776861,7,745,57039,23057,343476,2370991
144,2296913,2,405,17840,6311,176875,1217257
145,305137,0,718,75419,22798,458054,2308898
146,513006,15,592,51510,15129,368353,2160443
147,2159800,0,554,18983,11024,267000,1670806
148,3109289,73,571,28114,9454,206064,1247930
149,2362451,85,645,26029,6008,242251,1531487
150,64990,0,440,31923,12511,237178,1458392
151,2236796,91,476,27227,9894,258473,1668204
152,1469956,106,513,18491,14370,231217,1584046
153,3379891,4,583,22038,11840,268794,1975853
154,323869,0,506,25112,13898,357523,2433102
155,1362174,5,541,30955,20499,237596,1540393
156,224540,3,687,34647,22333,288905,1799044
157,4321718,0,640,49113,13183,276383,1414123
158,1811505,5,599,26675,12605,323685,2003901
159,2771519,0,635,32552,18378,297792,1625437
160,2793152,0,726,82270,20707,357605,2290328
161,2114725,22,757,25198,19747,279155,1741933
162,2234422,0,817,73833,31686,455583,2621542
163,3369269,1,727,59396,26817,382341,2107319
164,2030857,0,617,10654,13599,284315,1759966
165,1328863,131,471,18177,8907,201609,1340824
166,802272,4,543,22870,7568,260014,1766026
167,42195,2,594,25079,9136,255565,1569799
168,813406,1,731,46309,16711,304279,2072395
169,2309481,14,592,42652,12023,238684,1531538
171,633365,0,617,28804,8565,301034,1952036
172,115884,0,815,39704,27954,317191,2030192
173,1590723,0,420,17472,9370,187054,1281669
174,1244526,12,582,35392,17804,281064,1594839
175,173023,0,745,43960,20860,338373,2001463
176,2340931,11,604,21407,13366,244285,1368568
177,361663,0,385,14595,11958,217979,1547329
178,28863,300,451,16554,7809,193884,1266081
179,1143365,8,479,38866,14364,245108,1488373
180,849962,0,471,11677,7106,164319,1062929
181,140842,1,882,38588,23966,362384,2067653
182,235613,2,680,37278,14520,263005,1653293
183,638445,30,425,6893,5841,173403,1181297
184,250421,1,659,55964,15313,332738,1846838
185,2597655,0,536,7355,12025,197264,1308878
186,892964,2,378,27404,9358,194268,1230293
187,1362953,28,595,40647,22703,296530,1735841
188,139708,0,708,28669,11452,270842,2039007
189,903668,0,458,10650,6051,182945,1218361
190,3079470,1,716,44534,16024,357693,2193579
191,2230571,153,526,19279,6569,182400,1190947
